"id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
f226414d-e97b-48d2-a0b6-0cbcbbfbc486,Macaron sec,"",,10.2,0.6,77.7,74.0,3.0,6.9,0.2,1
e33a243d-76bd-4c95-bd24-527d4d9f502a,"Saumon, cuit à la vapeur","",195.0,11.5,2.39,0.0,0.0,0.0,23.0,0.13,1
d22d3d68-5300-48ce-959f-ec80ca6beb12,"Thon, rôti/cuit au four","",136.0,1.83,0.9,0.0,0.0,0.0,29.9,0.14,1
"14a06dca-7e69-4dc3-80d7-b4a32e286108","Sole, cuite à la vapeur","",94.6,1.48,0.2,0.0,0.0,0.0,20.3,0.41,1
dfd47dbc-32ec-4dc0-b7a9-e7968a8033ec,"Sole, rôtie/cuite au four","",78.2,1.69,0.31,0.0,0.0,0.0,15.7,0.29,1
"8b6bde78-fd13-47b6-80b4-c86ea0e473f6","Sole, bouillie/cuite à l'eau","",69.0,1.0,0.2,0.0,0.0,0.0,15.0,0.21,1
c6a60935-61ce-4188-b88d-16d11c98386b,"Églefin, grillé/poêlé","",84.9,0.55,0.11,0.0,0.0,0.0,20.0,0.65,1
"6b2daec0-9d88-4dc3-8a7c-be70b36e40e8","Sardine, grillée","",194.0,10.4,2.9,0.0,0.0,0.0,25.1,0.35,1
b31cd313-9676-4741-a24c-8edf9481c157,"Vivaneau, cuit","",121.0,1.72,0.37,0.0,0.0,0.0,26.3,0.14,1
"32ac3b5b-be37-4477-b126-d426b20ccd4b","Lieu jaune ou colin, cuit","",100.0,0.5,0.01,0.0,0.0,0.0,24.4,0.23,1
b5139bb9-4bd1-411b-a11b-d481d5e28f83,"Saumon, grillé/poêlé","",223.0,13.5,2.87,0.0,0.0,0.0,25.5,0.11,1
"7edc4e40-693a-470d-9731-9351ccd7b81a","Saumon, élevage, rôti/cuit au four","",210.0,13.5,2.5,0.0,0.0,0.0,22.1,0.15,1
eeb547b7-795c-4d54-b07e-719a65b3eff0,"Sablé pâtissier, artisanal","",,22.9,,59.4,,3.3,8.38,0.41,1
b22b0011-9adc-4286-ba26-927d34472e80,"Julienne ou Lingue, cuite","",105.0,0.82,0.00018,0.0,0.0,0.0,24.5,0.21,1
d73cda33-2d9f-41f2-b101-e6c5163b9450,"Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur","",173.0,11.6,2.07,0.0,0.0,0.0,17.3,0.36,1
