"id","id_old","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
"14ac1ade-5d2f-43f4-8da1-6e974cb948dc","6405bf58b0da194777986222",Fricassée de champignons émincés,Hello Fresh,,1.21,0.22,3.59,1.81,2.94,1.89,0.35,1
"2e9bdb71-e2a7-4ee7-8194-9df56a8be406","6405bf1faf4af6d531d50a5e",Fromage blanc,Hello Fresh,116.0,7.65,4.99,5.25,3.33,0.0,6.07,0.1,1
fe8e765a-22d8-4459-af71-12ae1f02e86c,"6461e0c1d8259131b372d903",Fromage blanc,Hello Fresh,116.0,7.65,4.99,5.25,3.33,0.0,6.07,0.1,1
e4821c90-3a7b-41d8-a49a-3911ffe1e184,"64073be5df6297bb5beef151",Fromage bleu,Hello Fresh,333.0,28.3,17.7,0.0,0.25,0.0,19.5,2.89,1
"65251459-2006-4c58-b6bf-5588f5385e7d","6405bf4baf4af6d531d50b17",Fromage bleu,Hello Fresh,333.0,28.3,17.7,0.0,0.25,0.0,19.5,2.89,1
"900def38-6ae3-40fc-9055-6cb3cfc4f590","64073babdf6297bb5beef104",Fromage de chèvre frais,Hello Fresh,,12.2,8.08,2.41,2.41,0.0,10.6,0.92,1
"155b0d32-6271-433c-9f85-7def6c7d51b0","6405bfb5b0da194777986364",Fromage de chèvre frais,Hello Fresh,,12.2,8.08,2.41,2.41,0.0,10.6,0.92,1
e4078b2e-01b2-484b-b722-e26de7e1e9a4,"5af2be2fae08b5194415a1ed",Fromage de chèvre frais,Hello Fresh,,12.2,8.08,2.41,2.41,0.0,10.6,0.92,1
"76729b5e-7b45-4d31-aeb4-584775db9320","6405bf20b0da19477798615d",Fromage de chèvre râpé,Hello Fresh,353.0,29.8,20.6,0.0,0.0,0.0,21.1,1.81,1
c21bb042-b30e-4d71-9940-5f7dbbb0511f,"5af2c159ae08b51b804e58d5",Fromage de chèvre râpé,Hello Fresh,353.0,29.8,20.6,0.0,0.0,0.0,21.1,1.81,1
b9fbaa32-0f83-4e26-aac3-375a3b455e44,"6405bf54b9d07cd5d38d7a44",Fromage de montagne râpé,Hello Fresh,364.0,29.1,19.8,0.0,0.2,0.0,25.0,1.23,1
d171de60-93d1-4003-8ec2-1d20d1ccf0a3,"5d80e4075de66e1f746e35e8",Fromage de montagne râpé,Hello Fresh,364.0,29.1,19.8,0.0,0.2,0.0,25.0,1.23,1
a693b005-627a-434b-a5ff-8a16f3a692ba,"64073d7c9c6d10cd16eab746",Burger de carotte et de courge,Hello Fresh,211.0,7.6,0.89,28.0,3.66,4.4,5.31,1.03,1
"0f7a67e2-4004-498c-b289-e329d7347b49","5af2bdf6ae08b5194415a114",Burger de veau,Hello Fresh,243.0,19.5,8.5,0.4,0.0,0.0,16.7,0.19,1
a89391ef-5350-428a-b934-fda9bbe95ff5,"6405bfa4b9d07cd5d38d7b6a",Burger de veau,Hello Fresh,243.0,19.5,8.5,0.4,0.0,0.0,16.7,0.19,1
"1da81635-acab-400e-85d5-bc519dbaf390","5dcd727af283181a300ab126",Burgers de sanglier,Hello Fresh,,13.6,4.45,2.48,0.57,1.55,15.8,0.87,1
"5783c434-8496-4cff-ab86-a1147356bcf5","5c70001be3f3396c2a47cd26",Burger végétarien,Hello Fresh,215.0,11.0,1.04,8.15,1.87,6.03,17.5,1.3,1
c5c00773-28aa-4ebf-921d-31a31639c45f,"6405bf64b0da19477798624b",Burrata,Hello Fresh,260.0,22.3,15.0,0.24,0.0,0.0,14.3,0.49,1
"74eb4da5-5ce8-4d55-bfd5-345909e50805","64073bda683721c9a32b0776",Burrata,Hello Fresh,260.0,22.3,15.0,0.24,0.0,0.0,14.3,0.49,1
"5870818d-c909-4ff8-a599-53cc868fea58","5cb44984c445fa72e10f4ba2",Câpres et dés de cornichons,Hello Fresh,,0.86,0.23,3.5,0.41,3.6,2.18,4.06,1
f9b63ef3-e31c-4796-8120-dc7f440fd659,"6405bf1aaf4af6d531d50a4e",Câpres et dés de cornichons,Hello Fresh,,0.86,0.23,3.5,0.41,3.6,2.18,4.06,1
"41234ba3-ab67-4fa0-973d-11da20f4cfa1","6405bff7af4af6d531d50d6a",Fruits de mer,Hello Fresh,104.0,1.76,0.35,3.06,0.12,0.00092,18.9,1.1,1
"86ab4983-737d-445b-a105-7babdae257c0","5eaa742d4d1313374d494f32",Fruits de mer,Hello Fresh,104.0,1.76,0.35,3.06,0.12,0.00092,18.9,1.1,1
"0f3c83e3-2a6b-4f2a-925e-4572f6aea0c7","5ba8a96630006c3c346c38b4",Carré de côtes,Hello Fresh,146.0,5.94,2.4,0.4,,0.0,22.7,0.094,1
a67301e9-12b4-40d7-bdda-73fd378629a2,"64073bcedf6297bb5beef139",Casarecce,Hello Fresh,336.0,1.79,0.37,65.8,2.12,3.0,12.6,0.031,1
a8a01a57-f656-4d19-bbeb-bcd775e0a00b,"6405bf31b9d07cd5d38d79bb",Casarecce,Hello Fresh,336.0,1.79,0.37,65.8,2.12,3.0,12.6,0.031,1
dc0eda4c-a871-4a29-825b-18a1c243da1f,"5fbe2dd103cb4c62ac01428c",Cassonade,Hello Fresh,,0.0,0.0,97.3,95.5,0.0,0.12,0.1,1
"937cc101-94c3-4d21-87cf-70bd80e2d458","64073bbbdf6297bb5beef116",Galette de blé noir,Hello Fresh,,1.51,0.33,30.1,1.08,3.08,5.95,1.32,1
a1021713-ae59-44e5-a855-c171837e293e,"63e5122dbc1d64f7b96e270c",Cassonade,Hello Fresh,,0.0,0.0,97.3,95.5,0.0,0.12,0.1,1
"379e9913-920f-4c61-afb1-daf8cdc2b5c4","63e5120da0a0603e5708dcb9",Cassonade,Hello Fresh,,0.0,0.0,97.3,95.5,0.0,0.12,0.1,1
"61aa522a-cd3f-44fa-a698-243ed78aa4ba","6405bfe6b9d07cd5d38d7c3f",Cébette,Hello Fresh,27.6,0.3,0.09,3.56,2.8,3.1,1.13,0.013,1
"71dcf86d-05f2-4457-a69e-fc7df423f81d","5af2be15ae08b5194415a193",Gingembre frais,Hello Fresh,32.9,1.1,0.09,3.4,1.0,2.7,1.1,0.016,1
cce6636d-af2c-4a6d-9463-243866e1abc7,"6405bf3aaf4af6d531d50acd",Gingembre frais,Hello Fresh,32.9,1.1,0.09,3.4,1.0,2.7,1.1,0.016,1
"813f44a8-ac99-4ca3-a8b7-611f3e88fefc","5af2bdf3ae08b5194415a109",Gnocchi,Hello Fresh,176.0,1.42,0.3,35.0,3.18,2.2,4.66,1.18,1
"166e24c1-0ebe-4f23-8476-9afe2accdf97","6405bf6baf4af6d531d50b9f",Gnocchi,Hello Fresh,176.0,1.42,0.3,35.0,3.18,2.2,4.66,1.18,1
"98c505b9-41de-4afd-8e9d-bc2639117014","64073bb09c6d10cd16eab623",Gnocchi,Hello Fresh,176.0,1.42,0.3,35.0,3.18,2.2,4.66,1.18,1
da473eef-949e-44e5-9397-be8bc280c709,"6405bf8cb9d07cd5d38d7b0e",Gnocchi de pomme de terre,Hello Fresh,176.0,1.42,0.3,35.0,3.18,2.2,4.66,1.18,1
d1d9c648-1d96-428b-8010-1f8136dfe501,"6405bf41b0da1947779861d8",Chair de tomates,Hello Fresh,26.1,0.5,0.01,3.63,3.2,1.8,1.2,0.068,1
"594d9d1d-f73a-426b-826c-83e454a561ab","6405bfdcaf4af6d531d50d0e",Chair de tomates,Hello Fresh,26.1,0.5,0.01,3.63,3.2,1.8,1.2,0.068,1
"2de07d1b-9d78-4662-860a-20098a74ee6c","64073e939c6d10cd16eab7b8",Chapati,Hello Fresh,259.0,0.92,0.17,53.0,2.18,2.68,8.26,1.38,1
ee1e2bcb-9f0a-4fcf-b440-ae86b9eaa4bb,"5cc6ca69945b1900091c1d23",Gouda Mi-Vieux,Hello Fresh,374.0,31.5,20.3,0.0,0.25,0.0,22.8,2.0,1
"603029b9-571c-4b16-a024-0d515be78ad2","5cdea15cbfc591000d02b434",Gouda Mi-Vieux râpé,Hello Fresh,374.0,31.5,20.3,0.0,0.25,0.0,22.8,2.0,1
"35d26086-18dc-40dc-ae28-19e4bfc4a19f","6405bf7ab0da194777986298",Gouda vieux râpé,Hello Fresh,374.0,31.5,20.3,0.0,0.25,0.0,22.8,2.0,1
deb58186-4141-4f48-bc72-18242e1fea1c,"5d1326adf67e6800151317e2",Gouda Vieux râpé,Hello Fresh,374.0,31.5,20.3,0.0,0.25,0.0,22.8,2.0,1
aa1628e7-63fb-4d19-9c8b-fe4b84b7f314,"64073bbedf6297bb5beef121",Gouda Vieux râpé,Hello Fresh,374.0,31.5,20.3,0.0,0.25,0.0,22.8,2.0,1
