"food_id","user_id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id","image_url"
"0b06f697-66c7-4ffd-9e64-6c3e8275b469",,"Matière grasse végétale (type margarine), teneur en matière grasse inconue, doux (aliment moyen)",,608.0,67.4,26.6,0.24,0.24,0.0,0.16,0.68,"4e427164-c134-4753-bd5b-e9ea22e67245",
"0eaab015-6e5c-4826-8364-0f113f07c403",,"Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen)",,532.0,58.9,18.2,0.24,0.22,0.0,0.28,0.4,"4e427164-c134-4753-bd5b-e9ea22e67245",
"4d2c2e6b-7336-4606-ae16-31a3dfa0c9aa",,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux",,366.0,38.6,17.5,3.0,1.91,0.0,1.44,0.53,"4e427164-c134-4753-bd5b-e9ea22e67245",
"64e45b97-5a29-4c87-b9d2-47bc570a3e2e",,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel",,358.0,38.0,17.3,3.05,1.5,0.0,0.9,1.63,"4e427164-c134-4753-bd5b-e9ea22e67245",
b8350915-0775-40cc-855f-188d30003b37,,Pain d'épices,,,1.1,0.18,71.5,38.2,3.0,2.94,0.47,"4e427164-c134-4753-bd5b-e9ea22e67245",
"65f28fa4-668f-4748-9ede-a48a38bc8036",,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3",,349.0,38.8,9.0,0.0,0.0,0.0,0.0,0.3,"4e427164-c134-4753-bd5b-e9ea22e67245",
a1927d24-0cee-40dd-949b-c54a04ef1522,,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel",,523.0,58.0,25.0,0.2,0.2,0.0,0.2,1.25,"4e427164-c134-4753-bd5b-e9ea22e67245",
"31b7fff9-e60f-4fc7-991d-6e86543b2fb3",,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3",,491.0,54.5,14.9,0.12,0.12,0.0,0.083,1.38,"4e427164-c134-4753-bd5b-e9ea22e67245",
"0ca1f94d-fff7-4a28-b3fa-f365c91da23d",,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux",,536.0,59.3,18.2,0.18,0.18,0.0,0.5,0.4,"4e427164-c134-4753-bd5b-e9ea22e67245",
cee453af-8021-4c2f-aeea-616871922fca,,"Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal",,325.0,35.0,7.8,2.5,0.1,0.0,0.1,1.23,"4e427164-c134-4753-bd5b-e9ea22e67245",
c1f130b7-5cad-4f61-821a-bf2a78f0946e,,Matière grasse mélangée (végétale et laitière) à 50-63% MG,,490.0,54.0,25.7,0.6,0.6,0.0,0.4,0.44,"4e427164-c134-4753-bd5b-e9ea22e67245",
"2dd0be4c-cdff-491f-8307-a0132f7f0e9c",,"Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel",,481.0,53.0,25.7,0.6,0.6,0.0,0.4,1.5,"4e427164-c134-4753-bd5b-e9ea22e67245",
"5c686387-acba-4bc6-aff2-80b4850b1611",,"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG",,397.0,40.9,20.6,5.6,2.3,0.0,1.69,0.54,"4e427164-c134-4753-bd5b-e9ea22e67245",
"5be1c57c-285b-47a6-80ff-098cc4a53676",,"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel",,370.0,38.0,17.5,5.6,2.5,0.0,1.5,1.75,"4e427164-c134-4753-bd5b-e9ea22e67245",
"69878449-20ea-406e-95d8-9823af65b665",,Saindoux,,896.0,99.5,41.1,0.0,0.0,0.0,0.0,0.005,"4e427164-c134-4753-bd5b-e9ea22e67245",
d3783f34-8322-4b72-a250-a356765897ea,,"Lard gras, cru",,810.0,88.7,32.2,0.0,0.0,0.0,2.92,0.028,"4e427164-c134-4753-bd5b-e9ea22e67245",
"80b11df7-eed3-4bbc-82b6-6425b736f834",,Graisse de poulet,,898.0,99.8,29.8,0.0,0.0,0.0,0.0,0.0,"4e427164-c134-4753-bd5b-e9ea22e67245",
e8bf22f6-1fcf-495b-ad1a-0e3d5378cdd6,,Gelée de groseille (extra ou classique),,246.0,0.3,,59.6,58.7,0.5,0.5,0.013,"4e427164-c134-4753-bd5b-e9ea22e67245",
"7815d238-e46c-4b41-bacd-9abd6f961c0d",,"Beurre à 82% MG, doux, tendre",,755.0,83.4,,0.5,,0.0,0.7,0.055,"4e427164-c134-4753-bd5b-e9ea22e67245",
b0722d57-7d18-4ae2-854e-39b0381c5a37,,Sel au céleri,,49.0,2.53,,4.14,0.0,1.19,1.81,87.5,"4e427164-c134-4753-bd5b-e9ea22e67245",
