"id","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","alim_nom_fr","kcal","protein","carbohydrate","fat","sugars","fiber","saturated_fat","sodium","unit_id"
eca0f03a-7835-4982-a300-5198a9154f69,"fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pêche blanche, pulpe et peau, crue",47.2,0.69,9.48,0.5,8.7,2.1,0.01,0.013,1.0
"9138c88a-5826-4dad-a95a-902aadab89e9","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pêche blanche, pulpe, crue",46.1,0.63,9.63,0.5,7.8,1.1,0.01,0.013,1.0
"1f498d2b-f665-421a-8917-d1f327741c88","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pêche jaune, pulpe, crue",46.3,0.69,9.8,0.5,7.6,1.0,0.01,0.013,1.0
"7a4373ec-1bf8-4e23-8b65-fd75a1b0c35a","viandes, œufs, poissons et assimilés",charcuteries et assimilés,saucisses et assimilés,Saucisse de bière,,13.0,,29.7,,0.0,,,1.0
"4953aeb5-99b3-4816-8809-f3d48c0dfabe",produits laitiers et assimilés,produits laitiers frais et assimilés,fromages blancs,"Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG",,6.98,12.5,0.025,12.2,0.0,0.033,0.1,1.0
"7c6f9383-2ba5-458f-92ee-bf422afda38c","viandes, œufs, poissons et assimilés",viandes cuites,autres viandes,"Lapin, viande cuite",167.0,20.5,0.5,9.2,,0.0,3.42,0.16,1.0
"13b11655-1d9e-48cf-92da-8a5ce434bea2","viandes, œufs, poissons et assimilés",viandes cuites,autres viandes,"Chapon, viande et peau, rôti/cuit au four",221.0,29.0,0.0,11.7,,0.0,3.26,0.12,1.0
"4a8e004e-05e9-4718-bd4c-008d0bd294ea","viandes, œufs, poissons et assimilés",viandes crues,autres viandes,"Oie, viande crue",155.0,22.6,0.0,7.12,,0.0,2.79,0.2,1.0
"0dc0f026-bf94-4231-9508-7e2c20a374e6",produits laitiers et assimilés,produits laitiers frais et assimilés,fromages blancs,"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ",,6.26,13.1,2.65,12.4,0.0,1.69,0.099,1.0
"192d9017-2178-44a3-91c2-4f90af37a3f3","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Pomme Golden, pulpe et peau, crue",57.1,0.5,12.8,0.5,11.5,1.4,0.01,0.013,1.0
"9ffd5f15-ec0a-41a5-ba1d-0584404b31b2","fruits, légumes, légumineuses et oléagineux",fruits,fruits crus,"Raisin noir Muscat, cru",90.1,0.69,20.0,0.5,19.6,2.7,0.01,0.013,1.0
